,index,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
748,first,comparee,position,which,skier,position,skier,least,which skier earned first place on 15 march 2006 in the 2006 alpine skiing world cup ?
749,last,comparee,#,#,opponent,#,#,most,last opponent that the utah starzz defeated in the season
750,highest,comparee,points,what,#,points,#,most,what was their highest points scored in a game ?
751,first,index,win,was,date,win,#,least,when was their first win of the season ?
752,least,comparee,#,what,#,#,#,least,what is the least the starzzs have scored at a home game ?
753,more,index,#,was,#,#,mtv,more,was mtv used more than mtv india ?
754,last,comparee,position,what,show,position,#,most,what is the last show listed ?
755,first,comparee,position,what,role,position,#,least,what was this actor's first television role ?
756,highest,comparee,#,who,#,#,#,most,who had the next highest number of gold medals after the unites states ?
757,first,comparee,rank,what,nation,rank,nation,least,what nation was ranked first in total number of gold medals ?
758,top,comparee,competitor,who,#,competitor,#,least,who was the top ranked competitor in the race ?
759,last,comparee,#,what,country,#,country,most,what country did the last person on the list come from ?
760,most,difference,runners,how many,#,runners,#,most,how many runners took 2 minutes at the most to run 1500 meters ?
761,last,comparee,athelete,who,#,athelete,#,most,who is the last athlete ?
762,more,comparee,medals,who,#,medals,vietnam,more,who earned more medals--vietnam or indonesia ?
763,most,comparee,silver medals,who,#,silver medals,won,most,who won the most silver medals ?
764,most,comparee,#,which,country,#,iran,most,which country scored the most gold medals--iran or indonesia ?
765,largest,comparee,number,which,#,number,tournament,most,which tournament has the largest number ?
766,first,comparee,#,which,#,#,halaal ki kamai,nan,"which film came first, halaal ki kamai or dariya dil ?"
767,last,comparee,film,what,#,film,#,most,what is the last film govinda appeared in before the new millenium ?
768,top,comparee,amount of points,what,teams,amount of points,teams,least,what teams has the top amount of points ?
769,first,comparee,#,who,#,#,came,least,who came in first before mrf challenge ?
770,least,comparee,number of points,what,#,number of points,#,least,what is the least number of points that daly won in a single seasons
771,#,difference,number of combined days,what,#,number of combined days,kevin steen,nan,what is the difference in the number of combined days between kevin steen and davey richards ?
772,highest,comparee,number of regins and defences,who,#,number of regins and defences,super dragon,most,"between super dragon, scott lost and paul london - who had the highest number of reigns and defences ?"
773,most,comparee,title regin,who,#,title regin,#,most,who has had the the most title reigns ?
774,least,comparee,amount of overall seats,which,year,amount of overall seats,year,least,which year had the least amount of overall seats won ?
775,first,index,constituency votes,were,#,constituency votes,#,least,were there any constituency votes in the first election year ?
776,least,comparee,#,which,year,#,election,least,in which election year were the least amount of party list votes casted ?
777,last,comparee,#,who,opponent,#,#,most,who is the last opponent ?
778,first,comparee,#,what,school,#,school,nan,what school is scheduled to play first ?
779,better,comparee,season,which,#,season,#,more,"which was a better season, 2006/07 or 2007/08 ?"
780,last,comparee,place,which,season,place,season,most,which season came in last place ?
781,least,comparee,#,who,#,#,scored,nan,who scored the least ?
782,last,comparee,#,who,#,#,#,most,who was the winning captain the last time the competition was held at the gaelic grounds venue ?
783,first,comparee,#,which,team,#,team,least,which team was the first to win with a team captain ?
784,first,comparee,winner,who,#,winner,#,least,who was the first winner in 2013 ?
785,first,comparee,#,who,winning caption,#,#,least,who was the first winning captain ?
786,first,comparee,#,which,competitor,#,competitor,least,which competitor came in first for this race ?
787,first,comparee,#,#,#,#,#,least,the first time on the list is ?
788,slower,index,horacia nava,were,atheletes,horacia nava,#,nan,name all athletes were slower than horacio nava.
789,first,comparee,#,which,competitor,#,competitor,nan,which competitor was ranked first ?
790,fastest,comparee,#,which,#,#,athlete,nan,which athlete had the fastest time for the 20km ?
791,fastest,comparee,time,which,athelete,time,#,nan,which chinese athlete had the fastest time ?
792,top,comparee,spot,who,athelete,spot,placed,least,who placed in the top spot ?
793,higher,comparee,#,who,#,#,argo ader for the quickstep,nan,"who scored higher, argo ader for the quickstep or lauri pedaja for the paso doble ?"
794,last,comparee,position,which,dance,position,#,most,which is the last dance on the chart
795,last,comparee,#,what,dance,#,#,most,what is the last type of dance listed ?
796,best,comparee,score,which,#,score,#,least,which is the first best score on the chart
797,more,comparee,aircraft,what,country,aircraft,#,more,what country has more aircraft listed than any other ?
798,last,comparee,aircraft,what,country,aircraft,#,most,what country has the last listed aircraft ?
799,longest,comparee,record,what,aircraft,record,#,most,what type of aircraft has the longest listed service record ?
800,last,comparee,versions,which,#,versions,#,most,which is the last versions on the chart
801,#,difference,seconds,what,#,seconds,rachel king,nan,what is the time difference in seconds between rachel king and sriyani kulawansa ?
802,top,comparee,ranking,who,athelete,ranking,#,least,who is the top ranking athlete ?
803,first,comparee,ranking,who,#,ranking,scored,least,who scored first rank in the first heat ?
804,first,comparee,#,what,year,#,year,least,in what year was the first original work published ?
805,last,index,wolf attack,was,#,wolf attack,#,most,when was the last recorded wolf non-fatal wolf attack in the united states
806,last,comparee,wolf attack,who,victim,wolf attack,#,most,"who was the victim of the last wolf attack to occur in california, usa ?"
807,most,comparee,wolf attacks,what,state,wolf attacks,state,most,what state has the most recorded non-fatal wolf attacks
808,more,index,movies,did,#,movies,1940s,more,did zhao dan star in more movies in the 1940s or 1950s ?
809,#,difference,#,what,years,#,his last role,least,what is the difference in years between his last role and his first role ?
810,first,comparee,film,what,#,film,#,least,what was the first film zhao dan starred in ?
811,first,comparee,#,what,#,#,the number of times the position of third was achieved,least,what is the difference between the number of times the position of third was achieved and the number of times the position of first was achieved ?
812,longest,difference,jump,how,#,jump,#,most,how long was huang le's longest jump in 2002 ?
813,first,comparee,#,what,year,#,year,least,in what year was the position of 3rd first achieved ?
814,best,comparee,jump,which,year,jump,year,nan,which year was his best jump ?
815,more,index,districts,does,#,districts,ghor,more,does ghor or farah have more districts ?
816,least,comparee,population,#,province,population,#,least,give the province with the least population
817,most,comparee,districts,which,province,districts,province,most,which province has the most districts ?
