,index,table_title,table_context,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
739,#,Modern pentathlon at the 2004 Summer Olympics – Men's,Rank Athlete Shooting\nScore (pts) Fencing\nVictories (pts) Swimming\nTime (pts) Riding\nPenalties (pts) Running\nTime (pts) Total,difference,total score,what,#,total score,andrey moiseev,nan,what is the difference between andrey moiseev's total score and marcin horbacz's total score ?
740,most,Modern pentathlon at the 2004 Summer Olympics – Men's,Rank Athlete Shooting\nScore (pts) Fencing\nVictories (pts) Swimming\nTime (pts) Riding\nPenalties (pts) Running\nTime (pts) Total,comparee,points,who,#,points,sergio salazar,most,"who had the most points in running, sergio salazar or eric walther ?"
741,least,Modern pentathlon at the 2004 Summer Olympics – Men's,Rank Athlete Shooting\nScore (pts) Fencing\nVictories (pts) Swimming\nTime (pts) Riding\nPenalties (pts) Running\nTime (pts) Total,comparee,amount of points,which,country,amount of points,country,least,which country had the competitor with the least amount of points ?
742,most,Modern pentathlon at the 2004 Summer Olympics – Men's,Athlete,comparee,points,which,athelete,points,athlete,most,which athlete scored the most points ?
743,most,Modern pentathlon at the 2004 Summer Olympics – Men's,Athlete,comparee,penalties,which,athelete,penalties,athlete,most,which athlete had the most penalties in riding ?
744,first,2006 Alpine Skiing World Cup,Place,comparee,place,who,#,place,#,least,"who was the first place finisher at the december 2, 2005 games in lake louise ?"
745,top,2006 Alpine Skiing World Cup,Date Place Disc. Winner Second Third,comparee,competitor,who,#,competitor,#,least,"who was the top competitor at the december 9, 2005 games in aspen ?"
746,first,2006 Alpine Skiing World Cup,Date Place Disc. Winner Second Third,comparee,canadian,who,#,canadian,#,least,who was the first canadian to place third ?
747,first,2006 Alpine Skiing World Cup,Date Place Disc. Winner Second Third,index,#,did,#,#,#,nan,did sweden or spain win first ?
748,first,2006 Alpine Skiing World Cup,Date Place Disc. Winner Second Third,comparee,position,which,skier,position,skier,least,which skier earned first place on 15 march 2006 in the 2006 alpine skiing world cup ?
749,last,1997 Utah Starzz season,Opponent,comparee,#,#,opponent,#,#,most,last opponent that the utah starzz defeated in the season
750,highest,1997 Utah Starzz season,Date Opponent Score Result Record,comparee,points,what,#,points,#,most,what was their highest points scored in a game ?
751,first,1997 Utah Starzz season,Date Result Result Result Result Result Result Result,index,win,was,date,win,#,least,when was their first win of the season ?
752,least,1997 Utah Starzz season,Date Opponent Score Result Record,comparee,#,what,#,#,#,least,what is the least the starzzs have scored at a home game ?
753,more,Ayushmann Khurrana,ORGANIZATION ORGANIZATION Channel Channel,index,#,was,#,#,mtv,more,was mtv used more than mtv india ?
754,last,Ayushmann Khurrana,Show,comparee,position,what,show,position,#,most,what is the last show listed ?
755,first,Ayushmann Khurrana,Role,comparee,position,what,role,position,#,least,what was this actor's first television role ?
756,highest,2012–13 FIS Snowboard World Cup,Rank Nation Gold Silver Bronze Total,comparee,#,who,#,#,#,most,who had the next highest number of gold medals after the unites states ?
757,first,2012–13 FIS Snowboard World Cup,Rank Nation,comparee,rank,what,nation,rank,nation,least,what nation was ranked first in total number of gold medals ?
758,top,2012 European Allround Speed Skating Championships,Rank Athlete Country Time Behind Points,comparee,competitor,who,#,competitor,#,least,who was the top ranked competitor in the race ?
759,last,2012 European Allround Speed Skating Championships,Country,comparee,#,what,country,#,country,most,what country did the last person on the list come from ?
760,most,2012 European Allround Speed Skating Championships,Rank Athlete Country Time Behind Points,difference,runners,how many,#,runners,#,most,how many runners took 2 minutes at the most to run 1500 meters ?
761,last,2012 European Allround Speed Skating Championships,Rank Athlete Country Time Behind Points,comparee,athelete,who,#,athelete,#,most,who is the last athlete ?
762,more,Karate at the 1994 Asian Games,Rank Nation Gold Silver Bronze Total,comparee,medals,who,#,medals,vietnam,more,who earned more medals--vietnam or indonesia ?
763,most,Karate at the 1994 Asian Games,Rank Nation Gold Silver Bronze Total,comparee,silver medals,who,#,silver medals,won,most,who won the most silver medals ?
764,most,Karate at the 1994 Asian Games,Rank Nation Gold Silver Bronze Total,comparee,#,which,country,#,iran,most,which country scored the most gold medals--iran or indonesia ?
765,largest,David Marrero,Tournament,comparee,number,which,#,number,tournament,most,which tournament has the largest number ?
766,first,Govinda filmography,PERSON|PERSON|PERSON Film,comparee,#,which,#,#,halaal ki kamai,nan,"which film came first, halaal ki kamai or dariya dil ?"
767,last,Govinda filmography,Film,comparee,film,what,#,film,#,most,what is the last film govinda appeared in before the new millenium ?
768,top,Conor Daly,Season Series Team Races Wins Poles F/Lap Podiums Points Position,comparee,amount of points,what,teams,amount of points,teams,least,what teams has the top amount of points ?
769,first,Conor Daly,Season Series Team Races Wins Poles F/Lap Podiums Points Position,comparee,#,who,#,#,came,least,who came in first before mrf challenge ?
770,least,Conor Daly,Season Series Team Races Wins Poles F/Lap Podiums Points Position,comparee,number of points,what,#,number of points,#,least,what is the least number of points that daly won in a single seasons
771,#,List of PWG World Tag Team Champions,PERSON|PERSON Wrestler,difference,number of combined days,what,#,number of combined days,kevin steen,nan,what is the difference in the number of combined days between kevin steen and davey richards ?
772,highest,List of PWG World Tag Team Champions,Wrestler,comparee,number of regins and defences,who,#,number of regins and defences,super dragon,most,"between super dragon, scott lost and paul london - who had the highest number of reigns and defences ?"
773,most,List of PWG World Tag Team Champions,Rank Wrestler No. of reigns Combined\ndefenses Combined\ndays,comparee,title regin,who,#,title regin,#,most,who has had the the most title reigns ?
774,least,Social Democratic Party of Germany,Election year # of\nconstituency votes # of\nparty list votes % of\nparty list votes # of\noverall seats won +/–,comparee,amount of overall seats,which,year,amount of overall seats,year,least,which year had the least amount of overall seats won ?
775,first,Social Democratic Party of Germany,Election year # of\nconstituency votes # of\nparty list votes % of\nparty list votes # of\noverall seats won +/–,index,constituency votes,were,#,constituency votes,#,least,were there any constituency votes in the first election year ?
776,least,Social Democratic Party of Germany,Election year # of\nconstituency votes # of\nparty list votes % of\nparty list votes # of\noverall seats won +/–,comparee,#,which,year,#,election,least,in which election year were the least amount of party list votes casted ?
777,last,2009–10 Colgate Raiders women's ice hockey season,Opponent,comparee,#,who,opponent,#,#,most,who is the last opponent ?
778,first,2009–10 Colgate Raiders women's ice hockey season,Date Opponent Time Score Record,comparee,#,what,school,#,school,nan,what school is scheduled to play first ?
779,better,Ribadesella CF,Season,comparee,season,which,#,season,#,more,"which was a better season, 2006/07 or 2007/08 ?"
780,last,Ribadesella CF,Season Place,comparee,place,which,season,place,season,most,which season came in last place ?
781,least,National Hurling League,Year Winners Score Score Runners-up Venue Winning Captain,comparee,#,who,#,#,scored,nan,who scored the least ?
782,last,National Hurling League,Year Winners Score Score Runners-up Venue Winning Captain,comparee,#,who,#,#,#,most,who was the winning captain the last time the competition was held at the gaelic grounds venue ?
783,first,National Hurling League,Year Winners Score Score Runners-up Venue Winning Captain,comparee,#,which,team,#,team,least,which team was the first to win with a team captain ?
784,first,National Hurling League,Year Winners Score Score Runners-up Venue Winning Captain,comparee,winner,who,#,winner,#,least,who was the first winner in 2013 ?
785,first,National Hurling League,Year Winners Score Score Runners-up Venue Winning Captain,comparee,#,who,winning caption,#,#,least,who was the first winning captain ?
786,first,FIS Nordic World Ski Championships 2013 – Men's 30 kilometre pursuit,Rank Bib Athlete Country Time Deficit,comparee,#,which,competitor,#,competitor,least,which competitor came in first for this race ?
787,first,FIS Nordic World Ski Championships 2013 – Men's 30 kilometre pursuit,Rank Bib Athlete Country Time Deficit,comparee,#,#,#,#,#,least,the first time on the list is ?
788,slower,2011 World Championships in Athletics – Men's 20 kilometres walk,Rank Athlete Nationality Time Notes,index,horacia nava,were,atheletes,horacia nava,#,nan,name all athletes were slower than horacio nava.
789,first,2011 World Championships in Athletics – Men's 20 kilometres walk,Rank Athlete Nationality Time Notes,comparee,#,which,competitor,#,competitor,nan,which competitor was ranked first ?
790,fastest,2011 World Championships in Athletics – Men's 20 kilometres walk,Athlete,comparee,#,which,#,#,athlete,nan,which athlete had the fastest time for the 20km ?
791,fastest,2011 World Championships in Athletics – Men's 20 kilometres walk,Time,comparee,time,which,athelete,time,#,nan,which chinese athlete had the fastest time ?
792,top,2011 World Championships in Athletics – Men's 20 kilometres walk,Rank Athlete Nationality Time Notes,comparee,spot,who,athelete,spot,placed,least,who placed in the top spot ?
793,higher,Tantsud tähtedega 2008,Dance Best dancer(s) Best score Worst dancer(s) Worst score,comparee,#,who,#,#,argo ader for the quickstep,nan,"who scored higher, argo ader for the quickstep or lauri pedaja for the paso doble ?"
794,last,Tantsud tähtedega 2008,Dance,comparee,position,which,dance,position,#,most,which is the last dance on the chart
795,last,Tantsud tähtedega 2008,Dance,comparee,#,what,dance,#,#,most,what is the last type of dance listed ?
